iter	Passed	Remaining
0	0	47
1	0	46
2	1	44
3	1	39
4	2	39
5	2	38
6	2	38
7	3	37
8	3	37
9	4	36
10	4	35
11	4	35
12	5	34
13	5	34
14	5	33
15	6	32
16	6	32
17	7	31
18	7	31
19	7	31
20	8	30
21	8	30
22	8	29
23	9	29
24	9	28
25	10	28
26	10	27
27	10	27
28	11	27
29	11	26
30	11	26
31	12	26
32	12	25
33	13	25
34	13	25
35	14	24
36	14	24
37	14	24
38	15	23
39	15	23
40	16	23
41	16	22
42	16	22
43	17	21
44	17	21
45	17	21
46	18	20
47	18	20
48	19	19
49	19	19
50	19	19
51	20	18
52	20	18
53	21	17
54	21	17
55	21	17
56	22	16
57	22	16
58	23	16
59	23	15
60	23	15
61	24	14
62	24	14
63	25	14
64	25	13
65	26	13
66	26	13
67	26	12
68	27	12
69	27	11
70	28	11
71	28	11
72	29	10
73	29	10
74	30	10
75	30	9
76	30	9
77	31	8
78	31	8
79	32	8
80	32	7
81	32	7
82	33	6
83	33	6
84	34	6
85	34	5
86	35	5
87	35	4
88	35	4
89	36	4
90	36	3
91	37	3
92	37	2
93	38	2
94	38	2
95	38	1
96	39	1
97	39	0
98	40	0
99	40	0
